Date;3709 - GDP real growth rates - Germany - Annual % var.
1970;4.94
1971;2.95
1972;4.31
1973;4.81
1974;0.32
1975;-1.27
1976;4.92
1977;3.02
1978;3.07
1979;4.25
1980;0.99
1981;0.14
1982;-1.04
1983;1.74
1984;2.82
1985;2.28
1986;2.33
1987;1.37
1988;3.59
1989;3.67
1990;5.75
1991;13.22
1992;2.23
1993;-0.80
1994;2.66
1995;1.89
1996;0.99
1997;1.80
1998;2.03
1999;2.01
2000;3.20
2001;1.84
2002;0.02
2003;-0.73
2004;0.70
2005;0.88
2006;3.88
2007;3.37
2008;0.82
2009;-5.57
2010;3.95
2011;3.72
2012;0.69
2013;0.60
2014;1.59
2015;1.49
Source;IMF-IFS
